hometown,race,Hispanic,sexual_orientation,gender,trans,first_gen,disables,household_income,athlete,rotc,secondary_school,classes_ap,classes_ib,classes_honors,classes_dual,extracurriculars,ai,gap_year,admissions,other_univ,sat_binary,sat_score,act_binary,act_score,admissions_assistance,legacy,legacy_binary,three_reasons,activities,college_accepted,college_switch,pre_professional,commons_house,commons_house_wish,financial_aid,merit_scholar,loans,greek_life,political_ideology,divest,abolish_gl,administration_politics,affirmative_action,legacy_opinion,abortion,gender_affirming_care,gun_control,vote,sex,romantic_relationships,alcohol,weed,drugs,fake_id
Kentucky,White/Caucasian,No,Bisexual/pansexual,Male,No,No,No,"$1,000,000 or more",No,No,Private,10+,My school did not offer,10+,1,"Academic Clubs/Competition, Athletics, Community Service, Music, Model UN",No,No,EDI,"University of Louisville, Centre College, Purdue, Indiana University",No,,Yes,35,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings","Campus tour, 'Dore For A Day",College of Arts of Science,No,"Yes, as a pre-law student",Murray,Murray,No,No,$0 ,Not sure,3,7,3,1,4,1,6,4,5,"I am eligible to vote, but am not registered",Yes,2,Twice a week,Once a month,None,N/A (I have never owned a fake ID)
"Toronto, Canada",Asian/Pacific Islander,No,Heterosexual,Female,No,No,No,"$75,000 - $99,999",No,No,Private,3,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Cultural and Affinity Clubs, Journalism, Model UN, Research, Visual Art",Yes,No,Regular Decision,,No,,No,,No,No,No,"Academics, School size, Faculty, Post-grad opportunities, Campus",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Sutherland,Hank Ingram,No,No,"$150,000 - $200,000",No,2,6,5,3,2,2,6,5,7,"Yes, in my home state/country",No,0,Once a semester,Never,None,N/A (I have never owned a fake ID)
Florida,White/Caucasian,Yes,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,10+,My school did not offer,9,2,"Academic Clubs/Competition, Research, Speech and Debate",Yes,No,EDI,,No,,No,,No,No,No,"Location, Academics, School size",None,College of Arts of Science,No,No,Stambaugh,Stambaugh,"Yes, full cost of attendence","Yes, full tuition",$0 ,No,3,4,4,4,5,2,6,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
New York,White/Caucasian,Yes,Questioning/unsure,Female,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,My school did not offer,My school did not offer,"Academic Clubs/Competition, Dance, Journalism, JROTC, Music",No,No,Regular Decision,"Franklin Pierce University, Flagler College, Stetson University, Stony Brook University, SUNY Cortland, SUNY Geneseo, SUNY Oneonta.",No,,No,,No,No,No,"Cost, Academics, Post-grad opportunities, Brand name/rankings",Campus tour,Peabody College of Education and Human Development,No,No,East,East,"Yes, more than half the cost of attendance",No,"$75,000 - $99,999",No,4,4,3,4,4,2,6,3,5,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
New Hampshire,White/Caucasian,No,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Public,6,My school did not offer,10+,2,"Athletics, Community Service, Cultural and Affinity Clubs, Music, Student Government, Work/Internship (Paid)",No,No,Waitlist,"University of New Hampshire, University of Southern California, University of Michigan, Boston University, UMass Amherst, University of Hartford, University of Northern Vermont - Lyndon, University of Rhode Island, Ithaca College, Saint Michael's College",Yes,1440,No,,No,No,No,"Cost, Location, Brand name/rankings",Commodore Launch,College of Arts of Science,"Yes, Blair",No,Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,"$1-$4,999",No,2,5,3,3,2,1,6,1,6,"I am eligible to vote, but am not registered",No,1,Never,Never,None,N/A (I have never owned a fake ID)
Minnesota,White/Caucasian,No,Heterosexual,Female,No,No,No,"$50,000 - $74,999",No,No,Public,2,6,6,0,"Academic Clubs/Competition, Athletics, Community Service, Family Responsibilities, Music, Theater, Work/Internship (Paid)",No,No,EDII,"Michigan State University, University of Minnesota, University of Iowa",No,,No,,No,No,No,"Location, Academics, Post-grad opportunities","Campus tour, 'Dore For A Day, Commodore Launch, MOSAIC",Peabody College of Education and Human Development,No,No,Crawford,Crawford,"Yes, more than half the cost of attendance",No,$0 ,No,2,4,2,2,2,1,7,7,4,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
New Jersey,"White/Caucasian, Middle Eastern/North African",Yes,Heterosexual,Male,No,Yes,No,"$0 - $49,999",No,No,Private,10+,My school did not offer,10+,2,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Internship (unpaid), Religious group, Work/Internship (Paid)",Yes,No,EDI,"University of Michigan, Fordham University, Indiana University",Yes,1530,No,,No,No,No,"Cost, Academics, Brand name/rankings","Campus tour, 'Dore For A Day, MOSAIC, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,No,North,Stambaugh,"Yes, more than half the cost of attendance",No,$0 ,"Yes, I plan to participate in IFC recruitment",4,3,1,2,4,5,3,1,5,"Yes, in my home state/country",No,0,Twice a week,Once a semester,None,New York
Massachusetts,White/Caucasian,No,Gay/lesbian,Male,No,No,No,"$300,000 - $499,999",No,No,Private,8,My school did not offer,10+,My school did not offer,"Advocacy, Athletics, Cultural and Affinity Clubs, Internship (unpaid), Theater",No,No,Regular Decision,"Drexel, University of San Francisco, Tulane, Emory",Yes,1540,No,,No,No,No,"Location, Academics, School size","MOSAIC, Anchor Day (admitted students day)",College of Arts of Science,No,No,Sutherland,Sutherland,No,No,I don't know,No,1,1,3,6,7,2,7,7,7,"Yes, in my home state/country",,1,Once a semester,Never,None,Connecticut
Kentucky,White/Caucasian,Yes,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,7,2,"Academic Clubs/Competition, Community Service, Student Government",No,No,Regular Decision,"Emory, UCLA, Berkeley, Duke, Johns Hopkins, Cornell, Georgia Tech, University of Kentucky, University of Kansas",No,,Yes,33,No,No,No,"Cost, Academics, School size","Campus tour, Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-med student",East,East,No,"Yes, full tuition",I don't know,Not sure,1,6,4,5,5,3,7,7,7,I am not eligible to vote,No,4,Never,Never,None,N/A (I have never owned a fake ID)
South Dakota,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Public,6,My school did not offer,My school did not offer,7,"Academic Clubs/Competition, Athletics, Community Service, Music, Work/Internship (Paid)",No,No,Regular Decision,"Columbia University, Northwestern University, New York University, Purdue University, UT Dallas, University of Iowa, University of South Dakota",No,,Yes,36,No,No,No,"Academics, Post-grad opportunities, Campus",Anchor Day (admitted students day),School of Engineering,No,"Yes, as a pre-med student",Sutherland,Sutherland,No,"Yes, partial tuition",I don't know,Not sure,4,5,4,3,3,1,5,4,6,I am registered to vote but do not vote,Yes,2,Once a month,Once a semester,None,N/A (I have never owned a fake ID)
Arizona,White/Caucasian,No,Gay/lesbian,Nonbinary or gender nonconforming,No,No,Yes,"$0 - $49,999",No,No,Public,8,My school did not offer,10+,0,"Academic Clubs/Competition, Community Service, Music, Speech and Debate, Theater, Work/Internship (Paid)",No,No,EDI,"UMass, NAU",No,,Yes,34,No,No,No,"Cost, Academics, Post-grad opportunities",None,College of Arts of Science,No,"Yes, as a pre-med student",Gillette,Gillette,"Yes, full cost of attendence",No,$0 ,Not sure,2,6,2,2,5,3,7,6,7,"Yes, in my home state/country",No,3,Never,Never,None,N/A (I have never owned a fake ID)
Texas,"Asian/Pacific Islander, Middle Eastern/North African",No,Gay/lesbian,Male,No,No,No,"$1,000,000 or more",No,No,Public,10+,My school did not offer,10+,0,"Advocacy, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Religious group, Speech and Debate",No,No,Regular Decision,"Rice, UT Austin",Yes,1580,No,,No,No,No,"Cost, Academics, Brand name/rankings","Anchor Day, Commodore Launch, MOSAIC, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",West,West,No,"Yes, full tuition",$0 ,No,2,6,3,3,3,2,7,6,7,"Yes, in my home state/country",No,0,Once a month,Never,None,N/A (I have never owned a fake ID)
Illinois,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,5,My school did not offer,8,3,"Academic Clubs/Competition, Athletics, Community Service, Journalism, Music, Student Government, Work/Internship (Paid)",No,No,EDI,"Butler University, Valparaiso University",Yes,1540,Yes,35,No,No,No,"Location, Academics, Campus","Campus tour, 'Dore For A Day",College of Arts of Science,No,No,East,Hank Ingram,"Yes, more than half the cost of attendance","Yes, partial tuition",I don't know,No,3,7,6,6,4,1,7,7,6,"I am eligible to vote, but am not registered",Yes,5,Once a month,Never,None,Texas
Wisconsin,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Private,10+,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Athletics, Community Service, Music, Student Government, Theater",No,No,EDI,,No,,Yes,35,No,No,No,"Academics, School size, Campus",Campus tour,College of Arts of Science,No,No,Hank Ingram,Hank Ingram,"Yes, less than half the cost of attendance",No,"$150,000 - $200,000",Not sure,3,5,3,2,6,1,7,4,6,"Yes, in my home state/country",No,3,Never,Never,None,N/A (I have never owned a fake ID)
Pennsylvania,"White/Caucasian, Middle Eastern/North African",No,Heterosexual,Female,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Student Government",No,No,Waitlist,"University of Pittsburgh, Penn State University, Miami University in Ohio, University of Colorado Boulder, University of Washington",No,,No,,No,No,No,"Location, Academics, Brand name/rankings",Campus tour,College of Arts of Science,No,No,Hank Ingram,Sutherland,No,No,"$250,000 or more",Not sure,3,5,3,2,5,3,7,6,6,I am not eligible to vote,No,1,Once a month,Never,None,N/A (I have never owned a fake ID)
Michigan,White/Caucasian,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Charter,My school did not offer,6,6,My school did not offer,"Academic Clubs/Competition, Cultural and Affinity Clubs, Family Responsibilities, Research, Work/Internship (Paid)",No,No,EDII,,No,,No,,No,No,No,"Cost, Post-grad opportunities, Campus","Anchor Day, Anchor Day (admitted students day)",College of Arts of Science,No,"Yes, as a pre-law student",Murray,Murray,"Yes, full cost of attendence","Yes, partial tuition",$0 ,No,4,4,3,6,3,2,7,7,6,"Yes, in my home state/country",Yes,2,Once a week,Once a month,None,N/A (I have never owned a fake ID)
New Jersey,White/Caucasian,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,10+,My school did not offer,10+,2,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Music, Student Government, Work/Internship (Paid)",No,No,EDI,,No,,Yes,35,No,No,No,"Location, Academics, School size",None,School of Engineering,No,No,Hank Ingram,Hank Ingram,No,"Yes, full tuition",$0 ,"Yes, I plan to participate in IFC recruitment",2,7,1,3,5,2,7,6,7,I am registered to vote but do not vote,,2,,,,
California,White/Caucasian,Yes,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Private,8,My school did not offer,3,My school did not offer,"Athletics, Community Service, Cultural and Affinity Clubs, Family Responsibilities, Journalism, Work/Internship (Paid)",No,No,EDI,Loyola Marymount University,No,,No,,No,No,No,"Academics, School size, Campus","Campus tour, Commodore Launch, MOSAIC",College of Arts of Science,No,"Yes, as a pre-law student",Crawford,Hank Ingram,"Yes, more than half the cost of attendance","Yes, partial tuition","$20,000 - $29,999","Yes, I plan to participate in Panhellenic recruitment",2,7,2,2,7,1,7,7,7,"Yes, in my home state/country",No,0,Three times a week,Once a month,None,N/A (I have never owned a fake ID)
New York,African American/Black,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,3,My school did not offer,My school did not offer,My school did not offer,"JROTC, Student Government, Work/Internship (Paid)",No,No,EDI,,No,,No,,No,No,No,"Academics, School size, Brand name/rankings",Commodore Launch,College of Arts of Science,No,No,Sutherland,Sutherland,"Yes, full cost of attendence",No,$0 ,No,1,7,3,7,7,1,7,7,7,"I am eligible to vote, but am not registered",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Massachusetts,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$200,000 - $299,999",No,No,Public,9,0,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Research, Work/Internship (Paid)",No,No,EDI,UMass Amherst,Yes,1550,Yes,35,No,No,No,"Cost, Academics, Brand name/rankings","Campus tour, Commodore Launch",College of Arts of Science,No,No,Murray,Murray,"Yes, less than half the cost of attendance",No,$0 ,No,4,2,3,1,3,1,7,1,6,"I am eligible to vote, but am not registered",Yes,2,Once a semester,Never,None,N/A (I have never owned a fake ID)
Kentucky,African American/Black,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,7,My school did not offer,5,3,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Family Responsibilities, Religious group, Student Government",No,No,Regular Decision,"UPenn, Carnegie Mellon, University of Kentucky, university of Cincinnati, Illinois institute of technology, university of louisville",No,,Yes,32,No,No,No,"Cost, Location, Academics, Post-grad opportunities, Brand name/rankings","Campus tour, MOSAIC",School of Engineering,No,No,Gillette,Murray,"Yes, less than half the cost of attendance","Yes, full tuition",$0 ,No,4,6,3,1,5,2,5,2,7,I am not eligible to vote,No,0,Once a month,Once a semester,Weed,N/A (I have never owned a fake ID)
Tennessee,Asian/Pacific Islander,No,Bisexual/pansexual,Female,No,Yes,No,"$100,000 - $149,999",No,No,Public,4,My school did not offer,10+,My school did not offer,"Academic Clubs/Competition, Advocacy, Community Service, Cultural and Affinity Clubs, Dance, Family Responsibilities, Internship (unpaid), Journalism, Model UN, Speech and Debate, Student Government, Work/Internship (Paid)",No,No,Regular Decision,"UMemphis, Rhodes, Penn State, Drexel, Mercer, UAB, UTK, UTC, Lipscomb, Clemson, UGA, UIUC  ",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings","Anchor Day, Commodore Launch",College of Arts of Science,No,"Yes, as a pre-med student",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,$0 ,No,1,5,4,7,3,1,7,7,7,"Yes, in Tennessee",No,1,Never,Never,None,N/A (I have never owned a fake ID)
Kansas,White/Caucasian,No,Heterosexual,Female,No,No,No,"$200,000 - $299,999",No,No,Public,7,0,7,2,"Academic Clubs/Competition, Community Service, Cultural and Affinity Clubs, Internship (unpaid), Research, Work/Internship (Paid)",No,No,Regular Decision,,No,,Yes,34,No,No,No,"Cost, Academics, Post-grad opportunities","Campus tour, Anchor Day, Commodore Launch, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,No,Hank Ingram,Hank Ingram,No,"Yes, full tuition",$0 ,No,1,6,4,3,6,2,6,6,7,"Yes, in my home state/country",,0,,,,
Florida,African American/Black,No,Heterosexual,Female,No,Yes,No,"$0 - $49,999",No,No,Public,5,10+,3,0,"Advocacy, Community Service, Dance",No,No,Regular Decision,"Notre Dame, Washington and Lee, Scripps, University of Florida, Boston College, Oxford college of Emory, vassar, Colgate ",No,,No,,No,No,No,"Cost, Location, Academics",Anchor Day,College of Arts of Science,No,"Yes, as a pre-law student",West,West,"Yes, more than half the cost of attendance",No,"$5,000 - $9,999","Yes, I plan to participate in NPHC recruitment",2,1,1,2,7,2,7,2,7,I am registered to vote but do not vote,No,0,Never,Never,None,N/A (I have never owned a fake ID)
Illinois,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$100,000 - $149,999",No,No,Public,10+,My school did not offer,10+,0,"Academic Clubs/Competition, Athletics, Community Service, Work/Internship (Paid)",Yes,No,EDI,,No,,Yes,35,No,No,No,"Cost, Academics, Brand name/rankings","Campus tour, Commodore Launch",School of Engineering,No,No,Crawford,Hank Ingram,"Yes, full cost of attendence","Yes, partial tuition","$1-$4,999",Not sure,2,5,1,1,5,1,7,4,6,"I am eligible to vote, but am not registered",Yes,2,Once a month,Never,None,N/A (I have never owned a fake ID)
Minnesota,White/Caucasian,No,Gay/lesbian,Male,No,No,No,"$50,000 - $74,999",No,No,Public,My school did not offer,My school did not offer,My school did not offer,10+,"Athletics, Family Responsibilities, Music, Religious group, Student Government, Theater, Work/Internship (Paid)",Yes,No,Waitlist,"University of South Dakota - Vermillion, University of North Carolina - Chapel Hill",No,,No,,No,No,No,"Cost, Location, Brand name/rankings",None,College of Arts of Science,No,"Yes, on another pre-professional track",Hank Ingram,Hank Ingram,"Yes, more than half the cost of attendance",No,"$5,000 - $9,999",No,3,7,4,4,5,3,7,5,5,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Georgia,White/Caucasian,No,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,6,My school did not offer,10+,2,"Academic Clubs/Competition, Athletics, Community Service, Internship (unpaid), Journalism, Religious group, Student Government, Work/Internship (Paid)",Yes,No,EDI,N/A,No,,No,,No,No,No,"Academics, Post-grad opportunities, Brand name/rankings",Campus tour,College of Arts of Science,No,"Yes, as a pre-med student",Crawford,Stambaugh,"Yes, more than half the cost of attendance",No,"$15,000 - $19,999","Yes, I plan to participate in Panhellenic recruitment",3,6,1,2,3,3,7,5,6,"Yes, in my home state/country",Yes,1,Once a week,Once a month,Prescription Opioids (Oxy),"Georgia, Tennessee"
Ohio,White/Caucasian,No,Bisexual/pansexual,Male,No,Yes,No,"$75,000 - $99,999",No,No,Public,4,My school did not offer,7,My school did not offer,"Academic Clubs/Competition, Community Service, Journalism, Music, Speech and Debate, Theater",No,No,Waitlist,"The Ohio State University, University of Pittsburgh, University of Cincinnati, Youngstown State University, Kent State University, Ohio University, Miami University",No,,No,,No,No,No,"Location, Academics, Campus",None,Peabody College of Education and Human Development,No,No,Sutherland,Sutherland,"Yes, more than half the cost of attendance",No,$0 ,Not sure,2,6,1,7,6,4,7,7,7,"Yes, in my home state/country",Yes,1,Never,Never,None,N/A (I have never owned a fake ID)
Arizona,White/Caucasian,No,Heterosexual,Male,No,No,No,"$500,000 - $749,999",No,No,Private,My school did not offer,My school did not offer,10+,My school did not offer,"Athletics, Community Service, Family Responsibilities, Student Government",No,No,Regular Decision,"WashU, Emory, Richmond",Yes,1540,No,,No,No,No,"Location, Academics, Brand name/rankings","Campus tour, Anchor Day, Anchor Day (admitted students day)",Peabody College of Education and Human Development,No,"Yes, on another pre-professional track",Sutherland,Sutherland,No,No,$0 ,"Yes, I plan to participate in IFC recruitment",3,5,2,2,3,2,7,4,7,"Yes, in my home state/country",No,1,Three times a week,Never,None,N/A (I have never owned a fake ID)
Oregon,Asian/Pacific Islander,No,Heterosexual,Male,No,No,No,"$150,000 - $199,999",No,No,Public,10+,My school did not offer,4,2,"Academic Clubs/Competition, Cultural and Affinity Clubs, Music, Speech and Debate",No,No,EDI,"University of Iowa, University of Minnesota",No,,Yes,36,No,No,No,"Academics, School size, Faculty",Campus tour,College of Arts of Science,No,No,Murray,Murray,"Yes, less than half the cost of attendance",No,$0 ,No,4,2,2,1,4,3,5,4,5,"Yes, in my home state/country",No,0,Never,Never,None,N/A (I have never owned a fake ID)
Illinois,White/Caucasian,No,Bisexual/pansexual,Female,No,No,No,"$100,000 - $149,999",No,No,Public,2,My school did not offer,2,My school did not offer,"Academic Clubs/Competition, Advocacy, Athletics, Community Service, Internship (unpaid), Work/Internship (Paid)",No,No,EDI,"Washington University in St. Louis, University of Illinois, University of Iowa, Marquette University, Tulane University, UChicago",No,,No,,No,No,No,"Cost, Academics, Brand name/rankings","Campus tour, MOSAIC",School of Engineering,"Yes, A&S",No,Crawford,Crawford,"Yes, more than half the cost of attendance",No,"$15,000 - $19,999",No,2,7,2,5,7,1,7,7,7,I am not eligible to vote,No,0,Twice a week,Once a week,"LSD (Acid), Psilocybin (Shrooms), Adderall",N/A (I have never owned a fake ID)
Texas,"White/Caucasian, Native American/Alaskan Native",Yes,Heterosexual,Female,No,No,No,"$100,000 - $149,999",No,Yes,Public,5,My school did not offer,7,2,"Academic Clubs/Competition, Athletics, Community Service, JROTC",No,No,Regular Decision,"Houston, Texas A&M Kingsville, Gonzaga, Incarnate Word, ",No,,No,,No,No,No,"Academics, School size, Brand name/rankings, Campus",Campus tour,College of Arts of Science,No,No,North,West,"Yes, less than half the cost of attendance",No,"$30,000 - $39,999",No,3,4,2,2,5,2,4,4,6,I am registered to vote but do not vote,No,1,Once a week,Never,None,N/A (I have never owned a fake ID)
